Unit,Category,Bucks,Antlerless,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Sex,Letter,Season,Weapon,Other,PLO,Either sex,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx
NA,All Season Choice Seasons,66,52,118,352,33,2645,NA,NA,NA,X,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA All Season Choice Seasons,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,All Season Choice Seasons,41,56,97,329,30,1978,NA,NA,NA,X,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA All Season Choice Seasons,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,All Season Choice Seasons,36,37,73,225,33,1091,NA,NA,NA,X,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA All Season Choice Seasons,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,"All Damage, Auction/Raffle & Misc. Hunts",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,"NA All Damage, Auction/Raffle & Misc. Hunts",NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,Season choice Archery,0,8,NA,NA,9,987,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season choice Archery,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,Season choice Muzzleloader,0,2,NA,NA,2,235,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season choice Muzzleloader,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,Season choice Rifle,30,29,NA,NA,58,1519,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season choice Rifle,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,Season choice Archery,2,4,NA,NA,7,681,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season choice Archery,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,Season choice Muzzleloader,0,2,NA,NA,2,112,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season choice Muzzleloader,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,Season choice Rifle,12,39,NA,NA,50,1449,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season choice Rifle,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,Season choice Archery,2,0,NA,NA,2,245,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season choice Archery,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,Season choice Muzzleloader,0,0,NA,NA,0,33,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season choice Muzzleloader,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
NA,Season choice Rifle,29,33,NA,NA,62,799,NA,NA,NA,NA,NA,NA,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season choice Rifle,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA
1,All manners of take,9,0,9,15,63,71,NA,NA,NA,NA,NA,NA,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All manners of take,67.8,92.7,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,All Rifle,8,0,8,13,65,56,NA,NA,NA,NA,NA,R,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Rifle,58.8,80.3,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,2nd Rifle Seasons,3,0,3,8,41,41,NA,O,2,R,Included,Included,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 2nd Rifle Seasons,36.2,49.4,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,3rd Rifle Seasons,5,0,5,5,100,15,NA,O,3,R,Included,Included,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 3rd Rifle Seasons,22.6,30.9,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,All Archery Seasons,0,0,0,1,0,8,NA,NA,NA,A,NA,NA,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Archery Seasons,4.5,6.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,2nd season rifle Antlered (Does not include PLO),3,NA,3,8,41,NA,NA,O,2,R,NA,NA,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 2nd season rifle Antlered (Does not include PLO),36.2,49.4,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,3rd season rifle Antlered (Does not include PLO),5,NA,5,5,100,NA,NA,O,132,R,NA,NA,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 3rd season rifle Antlered (Does not include PLO),22.6,30.9,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,2nd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,2,R,NA,NA,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 2nd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,3rd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,3,R,NA,NA,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 3rd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,Either Sex Muzzleloader,1,0,1,1,100,7,NA,NA,NA,NA,NA,NA,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Either Sex Muzzleloader,4.5,6.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,Antlered Muzzleloader,1,NA,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Antlered Muzzleloader,4.5,6.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
1,Antlerless Muzzleloader,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Antlerless Muzzleloader,0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
2,All manners of take,32,0,32,54,59,271,NA,NA,NA,NA,NA,NA,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All manners of take,25.9,30.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,All Rifle,29,0,29,40,71,193,NA,NA,NA,NA,NA,R,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All Rifle,19.2,22.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,2nd Rifle Seasons,18,0,18,21,83,89,NA,O,2,R,Included,Included,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 2nd Rifle Seasons,10.1,12,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,3rd Rifle Seasons,11,0,11,19,58,104,NA,O,3,R,Included,Included,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 3rd Rifle Seasons,9.1,10.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,All Archery Seasons,0,0,0,7,0,43,NA,NA,NA,A,NA,NA,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All Archery Seasons,3.4,4,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,2nd season rifle Antlered (Does not include PLO),18,NA,18,21,83,NA,NA,O,3,R,NA,NA,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 2nd season rifle Antlered (Does not include PLO),10.1,12,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,3rd season rifle Antlered (Does not include PLO),11,NA,11,19,58,NA,NA,O,133,R,NA,NA,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 3rd season rifle Antlered (Does not include PLO),9.1,10.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,2nd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,2,R,NA,NA,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 2nd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,3rd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,3,R,NA,NA,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 3rd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,Either Sex Muzzleloader,4,0,4,7,51,35,NA,NA,NA,NA,NA,NA,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 Either Sex Muzzleloader,3.4,4,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,Antlered Muzzleloader,4,NA,4,7,51,NA,NA,NA,NA,NA,NA,NA,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 Antlered Muzzleloader,3.4,4,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
2,Antlerless Muzzleloader,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 Antlerless Muzzleloader,0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
3,All manners of take,450,35,486,867,56,3227,NA,NA,NA,NA,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All manners of take,587.4,1106.6,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,All Rifle,433,32,465,789,59,2895,NA,NA,NA,NA,NA,R,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Rifle,534.6,1007,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,All Ranching For Wildlife Seasons,25,1,26,48,54,190,NA,W,NA,NA,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Ranching For Wildlife Seasons,32.5,61.3,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,2nd Rifle Seasons,150,11,161,280,58,949,NA,O,2,R,Included,Included,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 2nd Rifle Seasons,189.7,357.4,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,3rd Rifle Seasons,226,20,246,411,60,1589,NA,O,3,R,Included,Included,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 3rd Rifle Seasons,278.5,524.6,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,4th Rifle Seasons,32,0,32,50,64,166,NA,O,4,R,Included,Included,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 4th Rifle Seasons,33.9,63.8,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,All Archery Seasons,3,3,7,49,14,240,NA,NA,NA,A,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Archery Seasons,33.2,62.5,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,2nd season rifle Antlered (Does not include PLO),104,NA,104,199,52,NA,NA,O,5,R,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 2nd season rifle Antlered (Does not include PLO),134.8,254,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,3rd season rifle Antlered (Does not include PLO),157,NA,157,272,58,NA,NA,O,135,R,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 3rd season rifle Antlered (Does not include PLO),184.3,347.2,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,4th  season rifle Antlered (Does not include PLO),20,NA,20,28,71,NA,NA,O,263,R,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 4th  season rifle Antlered (Does not include PLO),19,35.7,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,2nd season rifle Antlerless (Does not include PLO),NA,8,8,8,100,NA,FALSE,O,2,R,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 2nd season rifle Antlerless (Does not include PLO),5.4,10.2,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,3rd season rifle Antlerless (Does not include PLO),NA,3,3,7,50,NA,FALSE,O,3,R,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 3rd season rifle Antlerless (Does not include PLO),4.7,8.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,4th  season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,4,R,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 4th  season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,Either Sex Muzzleloader,14,0,14,30,47,92,NA,NA,NA,NA,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 Either Sex Muzzleloader,20.3,38.3,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,Antlered Muzzleloader,14,NA,14,30,47,NA,NA,NA,NA,NA,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 Antlered Muzzleloader,20.3,38.3,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
3,Antlerless Muzzleloader,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 Antlerless Muzzleloader,0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
4,All manners of take,347,36,384,678,57,2834,NA,NA,NA,NA,NA,NA,NA,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All manners of take,830.8,1823.6,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656
