Tag,Class,Drawn_out_level,Successful_apps_at_DOL,Total_apps_at_DOL,Chance_at_DOL,Chance_with_First_choice,Animal,Sex,UnitCode,SeasonCode,Weapon,SeasonWeapon,DOL,Valid GMUs,Date Open,Date Close,Notes,RFW,PLO,NoApps
DE003O1A,A_R,0 Pref Points,157,258,61.0%,61.0%,D,E,003,O1,A,O1A,0,"3,4,5,14,214,301",45902,45930,,No,No,NA
DE003O1A,A_NR,0 Pref Points,14,86,16.0%,16.0%,D,E,003,O1,A,O1A,0,"3,4,5,14,214,301",45902,45930,,No,No,NA
DE003O1A,Y_R,Choice 2,1,3,33.0%,91.0%,D,E,003,O1,A,O1A,0,"3,4,5,14,214,301",45902,45930,,No,No,NA
DE003O1A,Y_NR,0 Pref Points,10,11,91.0%,33.0%,D,E,003,O1,A,O1A,0,"3,4,5,14,214,301",45902,45930,,No,No,NA
DE003O1A,L_U,Leftover Choice 2,14,15,93.0%,93.0%,D,E,003,O1,A,O1A,0,"3,4,5,14,214,301",45902,45930,,No,No,NA
DE003O1A,L_R,Leftover Choice 3,10,10,100.0%,100.0%,D,E,003,O1,A,O1A,0,"3,4,5,14,214,301",45902,45930,,No,No,NA
DE003P2R,A_R,0 Pref Points,67,107,63.0%,63.0%,D,E,003,P2,R,P2R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P2R,A_NR,0 Pref Points,105,191,55.0%,55.0%,D,E,003,P2,R,P2R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P2R,Y_R,Choice 2,6,18,33.0%,88.0%,D,E,003,P2,R,P2R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P2R,Y_NR,0 Pref Points,7,8,88.0%,33.0%,D,E,003,P2,R,P2R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P2R,L_U,0 Pref Points,47,61,77.0%,77.0%,D,E,003,P2,R,P2R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P2R,L_R,Leftover Choice 1,34,35,97.0%,97.0%,D,E,003,P2,R,P2R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P3R,A_R,Choice 2,4,144,3.0%,3.0%,D,E,003,P3,R,P3R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P3R,A_NR,Choice 2,2,93,2.0%,2.0%,D,E,003,P3,R,P3R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P3R,Y_R,Choice 2,1,20,5.0%,33.0%,D,E,003,P3,R,P3R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P3R,Y_NR,Choice 3,1,3,33.0%,5.0%,D,E,003,P3,R,P3R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P3R,L_U,0 Pref Points,60,63,95.0%,95.0%,D,E,003,P3,R,P3R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P3R,L_R,Leftover Choice 1,47,69,68.0%,68.0%,D,E,003,P3,R,P3R,0,"3, 4,5,14,214,301,441",NA,NA,,No,Yes,NA
DE003P4R,A_R,0 Pref Points,3,16,19.0%,19.0%,D,E,003,P4,R,P4R,0,"3, 301",NA,NA,,No,Yes,NA
DE003P4R,A_NR,0 Pref Points,7,33,21.0%,21.0%,D,E,003,P4,R,P4R,0,"3, 301",NA,NA,,No,Yes,NA
DE003P4R,Y_R,Choice 2,1,4,25.0%,40.0%,D,E,003,P4,R,P4R,0,"3, 301",NA,NA,,No,Yes,NA
DE003P4R,Y_NR,0 Pref Points,2,5,40.0%,25.0%,D,E,003,P4,R,P4R,0,"3, 301",NA,NA,,No,Yes,NA
DE003P4R,L_U,0 Pref Points,4,16,25.0%,25.0%,D,E,003,P4,R,P4R,0,"3, 301",NA,NA,,No,Yes,NA
DE003P4R,L_R,0 Pref Points,7,16,44.0%,44.0%,D,E,003,P4,R,P4R,0,"3, 301",NA,NA,,No,Yes,NA
DE004P4R,A_R,1 Pref Points,15,21,71.0%,71.0%,D,E,004,P4,R,P4R,1,"4, 441",NA,NA,,No,Yes,NA
DE004P4R,A_NR,1 Pref Points,12,21,57.0%,57.0%,D,E,004,P4,R,P4R,1,"4, 441",NA,NA,,No,Yes,NA
