Unit,Bucks,Does,Fawns,Antlerless,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags
1,0,0,0,0,0,7,0,11,All manners of take,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All manners of take,31.7,43.3,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"AE000U1A,AF001O1M,AM001O1M"
1,0,0,0,0,0,7,0,11,All Archery Seasons,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Archery Seasons,31.7,43.3,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"AE000U1A,AF001O1M,AM001O1M"
2,8,0,0,0,8,16,47,36,All manners of take,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All manners of take,7.7,9.2,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"AM001O1M,AM201O1A,AM201O1R"
2,8,0,0,0,8,14,56,29,All Rifle Seasons,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All Rifle Seasons,6.7,8,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"AM001O1M,AM201O1A,AM201O1R"
2,8,0,0,0,8,14,56,29,All Regular Rifle Seasons,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All Regular Rifle Seasons,6.7,8,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"AM001O1M,AM201O1A,AM201O1R"
2,0,0,0,0,0,1,0,4,All Archery Seasons,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All Archery Seasons,0.5,0.6,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"AM001O1M,AM201O1A,AM201O1R"
2,0,0,0,0,0,1,0,3,All Muzzleloader Seasons,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All Muzzleloader Seasons,0.5,0.6,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"AM001O1M,AM201O1A,AM201O1R"
3,59,0,0,0,59,89,66,302,All manners of take,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All manners of take,60.3,113.6,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"AM003O1A,AM003O1M,AM003O1R,AM003P5R,AM003W1R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM301W2R,AM441W1R"
3,51,0,0,0,51,66,77,169,All Rifle Seasons,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Rifle Seasons,44.7,84.2,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"AM003O1A,AM003O1M,AM003O1R,AM003P5R,AM003W1R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM301W2R,AM441W1R"
3,35,0,0,0,35,46,76,99,All Regular Rifle Seasons,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Regular Rifle Seasons,31.2,58.7,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"AM003O1A,AM003O1M,AM003O1R,AM003P5R,AM003W1R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM301W2R,AM441W1R"
3,6,0,0,0,6,15,39,106,All Archery Seasons,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Archery Seasons,10.2,19.1,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"AM003O1A,AM003O1M,AM003O1R,AM003P5R,AM003W1R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM301W2R,AM441W1R"
3,2,0,0,0,2,8,25,26,All Muzzleloader Seasons,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Muzzleloader Seasons,5.4,10.2,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"AM003O1A,AM003O1M,AM003O1R,AM003P5R,AM003W1R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM301W2R,AM441W1R"
3,15,0,0,0,15,20,77,38,All Private Land Only Seasons,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Private Land Only Seasons,13.6,25.5,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"AM003O1A,AM003O1M,AM003O1R,AM003P5R,AM003W1R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM301W2R,AM441W1R"
3,16,0,0,0,16,20,80,70,All Ranching for Wildlife Seasons,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Ranching for Wildlife Seasons,13.6,25.5,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"AM003O1A,AM003O1M,AM003O1R,AM003P5R,AM003W1R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM301W2R,AM441W1R"
4,47,0,0,0,47,55,85,133,All manners of take,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All manners of take,67.4,147.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"AM003W1R,AM004O1A,AM004O1M,AM004O1R,AM004P5R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM441W1R"
4,30,0,0,0,30,35,85,62,All Rifle Seasons,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All Rifle Seasons,42.9,94.1,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"AM003W1R,AM004O1A,AM004O1M,AM004O1R,AM004P5R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM441W1R"
4,16,0,0,0,16,17,92,27,All Regular Rifle Seasons,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All Regular Rifle Seasons,20.8,45.7,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"AM003W1R,AM004O1A,AM004O1M,AM004O1R,AM004P5R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM441W1R"
4,8,0,0,0,8,10,82,53,All Archery Seasons,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All Archery Seasons,12.3,26.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"AM003W1R,AM004O1A,AM004O1M,AM004O1R,AM004P5R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM441W1R"
4,9,0,0,0,9,10,90,18,All Muzzleloader Seasons,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All Muzzleloader Seasons,12.3,26.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"AM003W1R,AM004O1A,AM004O1M,AM004O1R,AM004P5R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM441W1R"
4,6,0,0,0,6,7,82,14,All Private Land Only Seasons,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All Private Land Only Seasons,8.6,18.8,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"AM003W1R,AM004O1A,AM004O1M,AM004O1R,AM004P5R,AM004W1R,AM004W2R,AM005W2R,AM214W2R,AM441W1R"
