Unit,Category,Bulls,Cows,Calves,Total Antlerless Harvest,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags
1,All Manners of Take,6,23,1,24,30,82,37,350,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Manners of Take,370.9,506.7,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,All Rifle Seasons,6,23,1,24,30,77,39,309,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Rifle Seasons,348.2,475.8,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,All Early Seasons,6,0,0,0,6,11,55,60,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Early Seasons,49.7,68,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,Late Seasons (Including PLOs),0,1,0,1,1,6,16,24,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Late Seasons (Including PLOs),27.1,37.1,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,Private Land Only Seasons,0,1,0,1,1,2,50,7,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Private Land Only Seasons,9,12.4,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,First Rifle Seasons (All Harvest - Includes PLOs),0,0,0,0,0,6,0,16,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 First Rifle Seasons (All Harvest - Includes PLOs),27.1,37.1,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,Second Rifle Seasons (All Harvest - Includes PLOs),0,10,1,11,12,21,57,87,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Second Rifle Seasons (All Harvest - Includes PLOs),95,129.8,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,Third Rifle Seasons (All Harvest - Includes PLOs),0,8,0,8,8,13,61,51,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Third Rifle Seasons (All Harvest - Includes PLOs),58.8,80.3,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,Fourth Rifle Seasons (All Harvest - Includes PLOs),0,3,0,3,3,18,14,64,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Fourth Rifle Seasons (All Harvest - Includes PLOs),81.4,111.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,All Antlered Rifle Seasons,0,0,0,0,NA,0,0,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Antlered Rifle Seasons,0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
1,Antlered First Rifle Seasons (No PLO or Either-sex tags included),0,0,0,0,NA,0,0,NA,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Antlered First Rifle Seasons (No PLO or Either-sex tags included),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M"
