GMUID,percent_public,Acres,Acres Public
391,0.0,"300,237",0
106,0.0,"645,161",0
116,0.0,"1,022,639",0
115,0.0,"383,304",0
114,0.0,"594,144",0
112,0.0,"314,130",0
122,0.0,"1,036,989",0
591,0.0,"225,907",0
100,0.0,"1,155,868",85
111,0.0,"730,191",66
117,0.0,"477,253",63
97,0.0,"654,600",89
109,0.0,"1,120,275",475
121,0.1,"1,101,582",661
94,0.1,"809,651",592
107,0.1,"1,335,793","1,090"
512,0.1,"29,242",27
101,0.1,"746,795",730
110,0.1,"661,623",668
142,0.1,"375,065",477
119,0.2,"618,414",898
138,0.2,"317,694",517
129,0.2,"250,386",526
98,0.2,"1,977,182","4,754"
141,0.3,"241,723",594
99,0.3,"1,803,504","4,875"
105,0.3,"1,225,705","3,465"
9,0.5,"432,825","2,056"
134,0.7,"404,550","2,726"
120,0.8,"544,536","4,061"
93,0.8,"1,056,279","8,025"
124,1.0,"687,027","6,615"
132,1.0,"838,764","8,192"
791,1.3,"335,271","4,464"
102,1.4,"802,632","11,592"
113,1.8,"223,953","4,131"
90,2.0,"419,556","8,355"
146,2.0,"959,077","19,514"
951,2.1,"998,103","20,723"
123,2.1,"568,908","11,938"
95,2.1,"823,374","17,536"
118,2.8,"529,573","14,809"
741,3.1,"487,967","15,025"
133,3.2,"588,528","19,015"
127,3.5,"994,409","35,178"
128,3.6,"1,277,696","45,936"
147,3.6,"327,593","11,831"
139,3.6,"1,221,155","44,377"
143,3.9,"695,925","27,241"
104,4.1,"1,569,733","63,621"
89,4.3,"865,193","37,566"
96,4.4,"275,182","11,966"
140,4.6,"462,543","21,286"
126,4.7,"701,885","32,930"
83,5.5,"1,268,265","69,764"
136,6.3,"579,521","36,609"
461,7.0,"154,259","10,863"
103,7.7,"139,159","10,724"
92,7.9,"64,727","5,084"
130,8.1,"498,242","40,117"
682,9.0,"262,859","23,656"
137,9.1,"587,674","53,226"
13,10.6,"400,229","42,261"
131,10.7,"213,465","22,733"
125,12.7,"592,591","75,432"
